"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
4,"1","2026-06-11T01:18:14.645950Z",16,11.857000000000001,"Positive","Absolutely love this product! Best purchase I've made all year.","2026-06-11T01:18:14.645950Z"
5,"1","2026-06-11T01:18:17.803329Z",17,5.19,"Neutral","The service was terrible and the staff was rude. Never coming back.","2026-06-11T01:18:17.803329Z"
7,"1","2026-06-11T01:19:15.132222Z",18,16.496,"Negative","Meeting at 3pm in the main conference room.","2026-06-11T01:19:28.251401Z"
8,"1","2026-06-11T01:19:22.102722Z",19,4.306,"Positive","Just got promoted! So grateful for my team and this opportunity.","2026-06-11T01:19:22.102722Z"
9,"1","2026-06-11T01:19:35.597329Z",20,6.369,"Negative","Flight delayed again. This is the third time this month.","2026-06-11T01:19:35.597329Z"
10,"1","2026-06-11T01:19:42.189338Z",21,5.05,"Neutral","The weather is nice today.","2026-06-11T01:19:42.189338Z"
11,"1","2026-06-11T01:19:48.599742Z",22,3.847,"Negative","Customer support ignored my emails for two weeks. Unacceptable.","2026-06-11T01:19:48.599742Z"
12,"1","2026-06-11T01:19:54.058461Z",23,4.099,"Neutral","The new update is okay. Nothing special but it works.","2026-06-11T01:19:54.058461Z"
13,"1","2026-06-11T01:20:01.555887Z",24,5.972,"Positive","Had an amazing dinner at the new place downtown. Highly recommend!","2026-06-11T01:20:01.555887Z"
14,"1","2026-06-11T01:20:09.847801Z",25,5.945,"Negative","Traffic is awful. Going to be late for the interview.","2026-06-11T01:20:09.847801Z"
